Unnamed: 0,Month,Year,nDays,DecYear,Q,Conc,GenConc,FNConc,Flux,GenFlux,FNFlux,Date,wy
275,8,2016,31,2016.62340619308,3.52371182425193,0.0561870168788311,0.0667292572768959,0.0558366633827147,17.0486606384377,20.1657377984407,21.7192895010182,2016-08-31,2016
276,9,2016,30,2016.70673952641,2.8859585924077,0.0573699131962879,0.069317102775807,0.0580698827050097,14.2780084881316,17.3441091760687,15.1878253276188,2016-09-30,2016
277,10,2016,31,2016.79007285974,2.56916006763038,0.0642430148391368,0.064901135618796,0.0626113837454107,14.2008033289544,14.3409509801144,16.387142571202,2016-10-31,2017
278,11,2016,30,2016.87340619308,2.09931660028584,0.0766240406118186,0.0793770183084357,0.0752656921984596,13.7943583965339,14.2460082777361,15.6961698067524,2016-11-30,2017
279,12,2016,31,2016.95673952641,1.66932376576638,0.0906038758329549,0.104080291055205,0.0910475432065297,13.0733014571601,15.0217818208266,14.4849819893683,2016-12-31,2017
280,1,2017,31,2017.04155251142,1.56957539081607,0.102623688311671,0.10289992302662,0.104339428919033,13.9592305081832,14.0016709274201,15.0860325791659,2017-01-31,2017
281,2,2017,28,2017.12237442922,1.56582047259368,0.0982269182236431,0.108569963254656,0.0976195900281562,13.2951584898403,14.6991267455044,13.3300321717216,2017-02-28,2017
282,3,2017,31,2017.20319634703,3.44762171771932,0.0957548734258689,0.107367219922095,0.0810029385142658,31.1447034541142,35.0295625839663,16.0591117345025,2017-03-31,2017
283,4,2017,30,2017.28675799087,14.4897302868522,0.107435248395403,0.101926595865283,0.087497481018262,139.518180499993,130.146058934902,69.0228753553825,2017-04-30,2017
284,5,2017,31,2017.3703196347,29.6340364481494,0.0896197907687191,0.0859925696709986,0.086764429315414,233.592871188521,226.580189119561,209.578382837775,2017-05-31,2017
285,6,2017,30,2017.45388127854,53.5424370087741,0.0729111245866428,0.0588269303927456,0.068545302271198,344.781986375995,279.392755674146,212.577165918473,2017-06-30,2017
286,7,2017,31,2017.53744292237,15.8912314927703,0.0566146717405551,0.0468597617253502,0.0580409028499967,77.9951563816701,65.4587889452264,65.0703925303294,2017-07-31,2017
287,8,2017,31,2017.62237442922,5.88259647142846,0.0544983185579736,0.0516544348340168,0.0567277160936811,27.6691870188547,25.7848391963069,22.0747926093724,2017-08-31,2017
288,9,2017,30,2017.70593607306,2.78137503981939,0.0586180672379448,0.0622035716353246,0.0587122300452751,14.0438831058343,14.9029113888886,15.3766080183396,2017-09-30,2017
289,10,2017,31,2017.7894977169,2.77623842478455,0.0635025029810171,0.065440838198234,0.0630468762600355,15.1311458609263,15.6170718507007,16.5217854721552,2017-10-31,2018
290,11,2017,30,2017.87305936073,2.14934302887051,0.0756763405250172,0.0778211502618752,0.0745821364627063,13.9950703977412,14.4154151740404,15.5661132599746,2017-11-30,2018
291,12,2017,31,2017.95662100457,1.60419501911842,0.0882807731050776,0.0912282375775339,0.0890629936142482,12.2243732391292,12.6339607656783,14.1797287498597,2017-12-31,2018
292,1,2018,31,2018.04155251142,1.48809594900685,0.0981028340739065,0.146911659894441,0.101309019980271,12.6252572644992,18.9477586654413,14.655953387668,2018-01-31,2018
293,2,2018,28,2018.12237442922,1.42059550336004,0.0903133751782359,0.0993109355493155,0.0949932383874271,11.1193242701913,12.2085512786461,12.9759772383708,2018-02-28,2018
294,3,2018,31,2018.20319634703,1.49156704630365,0.0700008175800129,0.0872202405657667,0.080355985413658,9.0167957322398,11.1697087619413,16.054322619666,2018-03-31,2018
295,4,2018,30,2018.28675799087,6.02658002315771,0.0867613143745295,0.0816418091153038,0.0907669813435033,46.449802533431,42.7234338300314,71.8773812574275,2018-04-30,2018
296,5,2018,31,2018.3703196347,18.0725421098155,0.0843004964252334,0.0678761008394007,0.0898418057098077,131.639444327272,105.423807147621,215.664821309398,2018-05-31,2018
297,6,2018,30,2018.45388127854,10.4819526308054,0.0667247205635638,0.062487905913112,0.0701769168765816,62.004809774074,57.8951870766376,216.681118905197,2018-06-30,2018
298,7,2018,31,2018.53744292237,2.76491168623708,0.0607351423803357,0.0536719460440497,0.0592683124385991,14.4930679886119,12.7090804706969,66.2853016679444,2018-07-31,2018
299,8,2018,31,2018.62237442922,1.59314231456807,0.0658016602321959,0.0689477088347801,0.0575762627605514,9.0405393115801,9.46819095474432,22.3443051544542,2018-08-31,2018
300,9,2018,30,2018.70593607306,1.40413802193481,0.0711425756616055,0.0717271706441146,0.0592940654615983,8.6244727016834,8.69912486951638,15.4911765848861,2018-09-30,2018
